Moonlight_Oncogenic_Mediator,NCG_driver,Hugo_Symbol
TSG,TSG,FAT4
OCG,TSG,POLE
OCG,TSG,BRCA1
OCG,TSG,BUB1B
OCG,TSG,FANCA
TSG,OCG,IL7R
OCG,OCG,POU2AF1
