TF,Target,Mode,pumid,Moonlight_Oncogenic_Mediator,CScape_Driver,logFC
APC,AKT1,Repression,15888491,OCG,1,-0.7519447275641848
APC,AMHR2,Repression,12724325,OCG,1,-0.7519447275641848
APC,DNMT1,Repression,12538344,OCG,1,-0.7519447275641848
APC,MYC,Repression,16510874,OCG,1,-0.7519447275641848
APC,NOS2,Activation,11935128,OCG,1,-0.7519447275641848
APC,ODC1,Repression,12112318,OCG,1,-0.7519447275641848
APC,PTGS2,Repression,10772828;12566320,OCG,1,-0.7519447275641848
APC,SGK1,Repression,18487207,OCG,1,-0.7519447275641848
ERG,ADAMTS1,Activation,19396168,TSG,1,-2.2883279059065575
ERG,CXCL8,Repression,19359602;22235125,TSG,1,-2.2883279059065575
ERG,CXCR4,Activation,19396168;23918819,TSG,1,-2.2883279059065575
ERG,ENG,Activation,22235125,TSG,1,-2.2883279059065575
ERG,EPB41L3,Repression,20860828,TSG,1,-2.2883279059065575
ERG,EPB41L4B,Activation,20860828,TSG,1,-2.2883279059065575
ERG,ERG,Activation,21536859,TSG,1,-2.2883279059065575
ERG,FGF2,Repression,12137767,TSG,1,-2.2883279059065575
ERG,ICAM1,Repression,22235125,TSG,1,-2.2883279059065575
ERG,ILK,Repression,23027626,TSG,1,-2.2883279059065575
ERG,PIM1,Activation,22140532,TSG,1,-2.2883279059065575
ERG,SPP1,Activation,21669963,TSG,1,-2.2883279059065575
ERG,TDRD1,Activation,23319146,TSG,1,-2.2883279059065575
ERG,TDRD1,Repression,23555854,TSG,1,-2.2883279059065575
ERG,VIM,Activation,8895512,TSG,1,-2.2883279059065575
ERG,VWF,Activation,22235125,TSG,1,-2.2883279059065575
ERG,WNT11,Activation,21242973,TSG,1,-2.2883279059065575
ILF3,ACRV1,Activation,17942973,OCG,2,0.5687284555877312
ILF3,BIRC5,Activation,22442257,OCG,2,0.5687284555877312
ILF3,HLA-DRA,Repression,10079079,OCG,2,0.5687284555877312
ILF3,IL2,Activation,18097023,OCG,2,0.5687284555877312
ILF3,PLAU,Activation,22986534,OCG,2,0.5687284555877312
KLF11,INS,Activation,18593768,OCG,2,-0.7220877564433925
MITF,ACP5,Activation,11481336;15737031,TSG,1,-1.3954594156024647
MITF,BCL2A1,Repression,23447565,TSG,1,-1.3954594156024647
MITF,BEST1,Activation,14982938,TSG,1,-1.3954594156024647
MITF,CTSK,Activation,21602817,TSG,1,-1.3954594156024647
MITF,DCT,Activation,15892717,TSG,1,-1.3954594156024647
MITF,FOS,Activation,14737107,TSG,1,-1.3954594156024647
MITF,GPNMB,Activation,18983539,TSG,1,-1.3954594156024647
MITF,HIF1A,Activation,22012259,TSG,1,-1.3954594156024647
MITF,KIT,Activation,19937254,TSG,1,-1.3954594156024647
MITF,OCA2,Activation,22234890,TSG,1,-1.3954594156024647
MITF,PPARGC1A,Activation,23416000,TSG,1,-1.3954594156024647
MITF,SERPINF1,Activation,22115973,TSG,1,-1.3954594156024647
MITF,TRAP,Activation,11425859,TSG,1,-1.3954594156024647
MITF,TRPM1,Activation,14744763;15577322,TSG,1,-1.3954594156024647
MITF,TYR,Activation,10080955;12034359;23872139,TSG,1,-1.3954594156024647
MITF,TYRP1,Activation,10080955;22371403;8995290,TSG,1,-1.3954594156024647
NFAT5,CCL2,Repression,22619484,OCG,4,-0.948776797012143
NR5A2,ABCG5,Activation,15121760,TSG,2,-2.1040318209160467
NR5A2,ABCG8,Activation,15121760,TSG,2,-2.1040318209160467
NR5A2,CETP,Activation,11331284,TSG,2,-2.1040318209160467
NR5A2,CYP11B1,Activation,11564608,TSG,2,-2.1040318209160467
NR5A2,HSD3B2,Activation,19022561,TSG,2,-2.1040318209160467
NR5A2,NR5A2,Activation,18191017,TSG,2,-2.1040318209160467
NR5A2,STAR,Activation,19022561,TSG,2,-2.1040318209160467
PGR,BCL2,Activation,17785366,TSG,1,-5.184984573092383
PGR,CYP19A1,Repression,18483177,TSG,1,-5.184984573092383
PGR,DUSP1,Activation,22020934,TSG,1,-5.184984573092383
PGR,E2F1,Activation,20123965,TSG,1,-5.184984573092383
PGR,ERBB2,Repression,18483177,TSG,1,-5.184984573092383
PGR,ESR1,Activation,16982776,TSG,1,-5.184984573092383
PGR,FOXP3,Repression,18685848,TSG,1,-5.184984573092383
PGR,HLTF,Activation,12890680,TSG,1,-5.184984573092383
PGR,IL10,Repression,18685848,TSG,1,-5.184984573092383
PGR,KLK4,Activation,19147544,TSG,1,-5.184984573092383
PGR,PTGS2,Repression,18483177,TSG,1,-5.184984573092383
PGR,RELA,Repression,8626413,TSG,1,-5.184984573092383
PRDM1,CIITA,Repression,16765445;16982896;17300840,TSG,1,0.5623977378340506
PRDM1,GCSAM,Repression,21722313,TSG,1,0.5623977378340506
PRDM1,LMO2,Repression,21722313,TSG,1,0.5623977378340506
PRDM1,MYC,Repression,10713181;12032779,TSG,1,0.5623977378340506
RUNX2,ELANE,Activation,14594802,OCG,1,1.2572489921980945
RUNX2,IBSP,Activation,16000302,OCG,1,1.2572489921980945
RUNX2,IBSP,Repression,17956871,OCG,1,1.2572489921980945
RUNX2,LGALS3,Activation,19020999,OCG,1,1.2572489921980945
RUNX2,MMP13,Activation,15564063,OCG,1,1.2572489921980945
RUNX2,MMP2,Activation,22641097,OCG,1,1.2572489921980945
RUNX2,SNAI2,Activation,22641097,OCG,1,1.2572489921980945
RUNX2,SNAI3,Activation,22641097,OCG,1,1.2572489921980945
RUNX2,TWIST1,Activation,22641097,OCG,1,1.2572489921980945
RUNX2,VEGFA,Activation,19509297;22641097,OCG,1,1.2572489921980945
RUNX2,VEGFC,Activation,22641097,OCG,1,1.2572489921980945
TAL1,ALDH1A2,Activation,9819382,TSG,1,-2.3926315554598605
TAL1,CD34,Repression,14715640,TSG,1,-2.3926315554598605
TAL1,ERG,Activation,21536859,TSG,1,-2.3926315554598605
TAL1,MYB,Activation,22897851,TSG,1,-2.3926315554598605
TAL1,MYCN,Activation,24334727,TSG,1,-2.3926315554598605
TAL1,NFKB1,Repression,16778171,TSG,1,-2.3926315554598605
TCF4,ABCB1,Activation,20459685,TSG,1,-1.234299359877987
TCF4,CCND1,Activation,20459685,TSG,1,-1.234299359877987
TCF4,CLEC4C,Activation,20483924,TSG,1,-1.234299359877987
TCF4,CNTNAP2,Activation,22777675,TSG,1,-1.234299359877987
TCF4,HECA,Repression,22100912,TSG,1,-1.234299359877987
TCF4,MITF,Repression,21519923,TSG,1,-1.234299359877987
